VRIJEDI OD (VALID FROM) 15.02.2021.;;;;;;;;
10 JAPIRKO - TRAJEKTNA LUKA - JAPIRKO;;;;;;;;
sati;"RADNI DAN
Working day";;;"SUBOTA
Saturday";;"NEDJELJA I PRAZNIK
Sunday & holiday";;
hours;minute;;;;;;;
05:;10;;;10;;10;;
06:;05,;40;;05;;05;;
07:;10,;30;;10;;10,;35;
08:;10,;50;;10,;50;10;;
09:;10,;40;;40;;20;;
10:;20;;;20;;30;;
11:;10;;;10;;40;;
12:;05,;40;;05,;40;50;;
13:;05;25;;25;;;;
14:;10,;30,;55;10,;55;00;;
15:;40;;;40;;10;;
16:;25;;;25;;20;;
17:;10,;55;;10,;55;30;;
18:;40;;;40;;40;;
19:;25;;;25;;50;;
20:;10,;55;;10,;55;;;
21:;40;;;40;;05;;
22:;25;;;25;;10;;
23:;20;;;20;;20;;
Prometuje do  TRAJEKTNE LUKE;;;;;;;;
Prometuje od TRAJEKTNE LUKE;;;;;;;;
