VRIJEDI OD (VALID FROM) 02.04.2021.;;;;;
11 SPINUT-KAMPUS-PUJANKE-RAVNE NJIVE;;;;;
sati;"RADNI DAN
Working day";;"SUBOTA
Saturday";;"NEDJELJA I PRAZNIK
Sunday & holiday"
hours;minute;;;;
05:;;;;;
06:;25;;;;
07:;00;30;00;35;N
08:;15;50;50;;E
09:;30;;30;;
10:;05;45;45;;P
11:;10;45;10;;R
12:;25;50;25;;O
13:;30;55;00;55;M
14:;20;;;;E
15:;10;40;40;;T
16:;30;;55;;U
17:;05;45;45;;J
18:;20;50;;;E
19:;40;;40;;
20:;05;;;;
21:;;;;;
22:;;;;;
23:;;;;;
"TRASA LINIJE: Spinut - Bakotićeva - Sedam Kaštela - Hrv. Mornarice - Dom. Rata -
Livanjska - Zagrebačka (tržnica) - trajektna lika - Pojišan - Poljička - Bruna Bušića - Matice hrvatske - Velebitska - Vukovarska - Pujanke - Zagorski put - 114. Brigade (Ravne njive)";;;;;
;;;;;
VRIJEDI OD (VALID FROM) 15.03.2021.;;;;;
11 RAVNE NJIVE-PUJANKE-KAMPUS-SPINUT;;;;;
sati;"RADNI DAN
Working day";;"SUBOTA
Saturday";;"NEDJELJA I PRAZNIK
Sunday & holiday"
hours;minute;;;;
05:;45;;;;
06:;20;50;20;50;
07:;20;55;55;;N
08:;25;;25;;E
09:;00;45;45;;
10:;10;55;15;;P
11:;30;55;30;;R
12:;40;;00;;O
13:;10;35;10;50;M
14:;20;50;50;;E
15:;10;;;;T
16:;05;40;40;;U
17:;15;;;;J
18:;00;35;35;;E
19:;10;40;;;
20:;;;;;
21:;;;;;
22:;;;;;
23:;;;;;
"TRASA LINIJE: 114. Brigade (Ravne njive) - Hercegovačka - Sarajevska - Zagorski
put - Pujanke - Vukovarska - Velebitska - Matice hrvatske - Bruna Bušića - Poljička - Zagrebačka (tržnica) - Livanjska - Dom. Rata - Hrv. Mornarice - Sedam Kaštela - Bakotićeva - Spinut";;;;;
;;;;;
